PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,IMPORTER_CLEANED,YEAR,SHIPPER_CLEANED
"20 PACKAGES BEING: 20 PACKAGES WITH 540 PIECES EACH - 45,580M3 OF 11 16 X4-5 8 X81 FLAT JAMBS PO : 00688007 NCM - 4409.10.00 - WOOD CONTINUOSLY SHAPED ALONG ANY OF ITS EDGES, ENDS, OR FACE, WHETHER OR NOT PLANED, SANDED OR END-JOINTED CONIFEROUS, STANDARD WOOD MOULDINGS: PINE (PINUS SPP.), END-JOINTED SHIPPED ON BOARD FREIGHT COLLECT RE: 131001183001 SD: 2130767696 0 HS CODE SH: 440910 NET WEIGHT: 20.900,00 KG COMMERCIAL INVOICE - 000.016.822 ALSO NOTIFY PARTY: RICHARD MURRAY & COMPANY 109 N. CONCEPTION ST. MOBILE, AL 36602 PHONE: 251-432-5549 EXT. 19 FAX: 251-432-2810 EMAIL: MAC@RICHARD-MURRAY.COM SPA: 011",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,MADEIRAS SALAMONI LTDA.,08/19/2013,46860,21300,Itajay,"Houston, Texas",E.R. BERLIN,Brazil,SALAMONI { NCM -------------} FSCU9918608 1 44091000 {-NCM--------------},"10200 SW GREENBURG RD., SUITE 500 TIGARD, OR 97223 - U.S.A. PHONE:503-872-3535 FAX:503-238-266 EMAIL: INDINVOICE@BRIDGEWELLRES.C TIGARD OR 97223 US","83.054.544 0001-63 RODOVIA HONORINO MORO,5520 BAIRRO:SORGATTO CACADOR - SC - BRA PHONE:(49)3563-1072 FAX:(49) 3563- CACADOR SC 89500000 BR",97223,1,FSCU9918608,4500,20,PCS,0, ,CPLBKIBACRP00, , ,1325N,LT792717,LIBERIA, ,CPLB,COMPANIA LIBRA DE NAVEGACION (URUGUAY) S A,MONTEVIDEO, ,11 100,EDIFICIO PLZZA MAYOR PLZZA INDEPENDENCIA,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD, SUITE 500 TIGARD, OR 97223 PHONE:503-872-3535 FAX:503-238-266 EMAIL: INDINVOICE@BRIDGEWELLRES.C TIGARD OR 97223 US",ITAJAI (SANTA CAT,Bridgewell Resources,2013,G13 MADEIRAS LTDA
"(858 PIECES) AZOBE SAWN TIMBER CT 26 - 708 D6 NO E 1219 MARKS : G W Z FREIGHT PAYABLE AT DESTINATION 'SUPPLIER CERTIFIES THAT THE COVER BOARDS,SPACER STICKSAND BLOCKS ARE THE SAME SPECIES AS LUMBER SHIPMENT,SUBJECT TO APHIS INSPECTION AND ARE FROM WPM RULE'",MOORE WILLIAM G & SON INC, ,SDV-CAMEROUN,2007-03-09 00:00:00,107241,48746,DOUALA, ,SAFMARINE HOUSTON,Cameroon,MN,4459 AMBOY RDSTE 4STATEN ISLAND NY 10312718-227-2990,P/C WIJMA BP 1616 DOUALACAMEROUN237-3428022,10312,0, , ,44,BUNDL,44,CM,SAFM512303671, , , , , , ,SAFM,SAFMARINE CONTAINER LINES (HEREINAFTER SAFMARINE),MADISON,NJ,07940-0880,GIRALDA FARMS #2 MADISON AVE PO BOX 880,MOORE WILLIAM G & SON INC,4459 AMBOY RDSTE 4STATEN ISLAND NY 10312718-227-2990, ,William G. Moore & Son,2007,SDV CAMEROUN
LAMINATED FLOORINGS HARMONIZED CODE; 4411.13.2000 LAMINATED FLOORINGS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,KRONOFLOORING GMBH,11/21/2014,70620,32100,Bremerhaven,"Mobile, Alabama",MSC MELISSA,Germany,NO MARKS . . NO MARKS,"10200 SW GREENBURG ROAD, SUITE 500 TIGARD, OREGON 97223 UNITED STATES",MUEHLBACHER STRASSE 1 01561 LAMPERTSWALDE GERMANY,97223,2,MEDU2047231 MEDU2383600,2210 2210,45,PKG,0, ,FMSWDE1459972,H,MSCUGS591795,0443A,KL2943529 KL2943549,PANAMA, ,FMSW,FMS SEAWAYS AG,OPFIKON ZURICH, , ,SAGEREISTRASSE 24 POSTFACH 8152 GLATTBRUGG,-NOT AVAILABLE-, , ,Bridgewell Resources,2014,KRONOFLOORING GMBH
"01 CONTAINER 40 HC S.L.A.C. CONTAINING: 22 VOLUMS WITH: MOLDED PINE WOOD FOR MOUL DINGS SPLIT JAMBS PRIMED SHIPPED ON BOARD FREIGHT COLLECT FREIGHT AS PER AGREEMENT EXPRESS RELEASE NCM:44189000 NET WEIGHT: 22000,00 KGS RE:13/1263770-001 SD:213097 4783/0",BRIDGEWELL RESOURCES, ,LINEA PARANA MADEIRAS LTDA.,10/23/2013,22000,10000,Port Bustamante,"New Orleans, Louisiana",ZIM COLOMBO,Jamaica,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PH: 503 872-3535 FX: 503 238 -2664 97223 TSANDBERG@BRIDGEWELLRE","RUA VITORIO GIRARDI, 100 SENGES - P ARANA - BRASIL FONE:(43)35678300 / FAX: (43) 3567-8340 CNPJ:81.713.51", ,1,ZCSU8553888,4500,22,UNT,0,CF,ZIMUNVT1003599, , ,26W,ZZZS718293,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PH: 503 872-3535 FX: 503 238 -2664 97223 TSANDBERG@BRIDGEWELLRE",NAVEGANTES,Bridgewell Resources,2013,G13 MADEIRAS LTDA
RBD COCONUT OIL RBD COCONUT OIL RBD COCONUT OIL RBD COCONUT OIL,BRIDGEWELL RESOURCES, ,PT. SARI MAS PERMAI,09/20/2015,190168,86440,Singapore,"Los Angeles, California",NYK THEMIS,Singapore,NO MARKSNO MARKSNO MARKSNO MARKS,". 12420 SE CARPENTER DRIVE CLACKAMAS, OR 97015",". JL. WARU GUNUNG 23, SURABAYA JAWA TIMUR, INDONESIA 60221",97015,4,TEMU3528912 DFSU1260541 TCLU2733875 FCIU4896174,2CG0 2CG0 2CG0 2CG0,4,PKG,0, ,HJSCSUB504381500, , ,0036E,HE298466 HE296909 HE298465 HE296910,PANAMA, ,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,TLR - TOTAL LOGISTICS RESOURCE,". 11855 NE GLENN WIDING DRIVE PORTLAND, OR 97220","SURABAYA, JAVA",Bridgewell Resources,2015,PT. SARI MAS PERMAI
GRADE A CLEAR TAEDA PINE FJ BLANKS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,REFLORESTADORES UNIDOS S/A,04/25/2010,55000,25000,Itajay,"Houston, Texas",MSC NATAL,Brazil,MADE IN BRAZIL,10200 SW GREENBURG ROAD PO BOX 23711 TIGARD OR 97281 US,RS 020 KM 47 95480 - VILA UNIDOS CAMBARA DO SUL RS BR 5554 244 1810,23711,1,MSCU8901697, ,20,PKG,0, ,CEVVEASY5037278A,H,MSCUIJ833285,038R,572318,LIBERIA,00 - Consumption Category,CEVV,CEVA OCEAN LINE (NVOCC),LA GRANGE,IL,60525-8395,POST OFFICE BOX 2295, , ,ITAJAI,Bridgewell Resources,2010,REFLORESTADORES UNIDOS S/A
"10 BUNDLE(S) COM-SHOP ALDER KD H/M 15/16, 4/4 12,404.000 KGS 28.080 CBM 8 BUNDLE(S) JACKET BOARD ALDER KD H/M 15 /16, 4/4 8,079.000 KGS 18.25 0 CBM CAED # 01S190PC1541201 31000007 HTS CODE: 4407.99",TO ORDER BRIDGEWELL RESOURCES LLC, ,BRIDGEWELL RESOURCES LLC,10/15/2013,45157,20526,"Vancouver, BC","Seattle, Washington",ADRIAN MAERSK,Canada,N/M,"10200 SW GREENBURG RD STE 500 TIGARD,OR 97223 UNITED STATES 86-57483017088 TEL EX 86-57483 01","10200 SW GREENBURG RD STE 500 TIGARD,OR 97223 UNITED STATES 1-5032311166 TEL EX 1-503238 26",86-57483,1,PONU7919582,4EB0,18,CTN,46,CM,MAEU561499306, , ,871E,1139386,DENMARK, ,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",NINGBO CHINA BASIC HALIDA,IMPORT & EXPORT CO. LTD 15/F INT-L TRADE CENTER NINGBO CHAMBER OF COMMERCE 86-57483017088 TEL EX 86-57483 01,VANCOUVER,Bridgewell Resources,2013,BRIDGEWELL RESOURCES LLC
42 PACKAGES WITH URUGUAYAN PINE K/D BLAN KS S2S. PCS 16956 MBF 42.157 CBM 99.400 O RDER NR: 705309/705296 WOOD PACKING MATER IALS BEING USED ARE FREE OF BARK & APPARE NTLY FREE FROMLIVE PLANT PEST MAIL: IN GE@RICHARD-MURRAY.COM 42 PACKAGES WITH URUGUAYAN PINE K/D BLAN KS S2S. PCS 16956 MBF 42.157 CBM 99.400 O RDER NR: 705309/705296 WOOD PACKING MATER IALS BEING USED ARE FREE OF BARK & APPARE NTLY FREE FROMLIVE PLANT PEST MAIL: IN GE@RICHARD-MURRAY.COM,BRIDGEWELL RESOURCES, ,DANK S.A.,04/26/2014,47700,21682,Port Bustamante,"Oakland, California",ZIM SHANGHAI,Jamaica,NO MKS & NO NOS NO MKS & NO NOS,"10200 SW GREENBURG RD,STE 500, TIG ARD OR 97223- EEUU PH:503-872-3535 OR 800-784-3545 FX:503-238-2664",JUAN PAULLIER 1671 MONTEVIDEO-URUG UAY PH.59824099999 FX.59824088056,97223,2,ZCSU8972760 ZCSU8670668,4500 4500,42,PKG,0,CF,ZIMUMVD0044160, , ,47W,ZZZS609191 ZZZS609277,HONG KONG, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CNEE,"2ND.NOTIFY: RICHARD MURRAY & CO.IN C. 109 N CONCEPTION STREET #102. M OBILE, AL 36602. INGE WENTWORTH.",MONTEVIDEO,Bridgewell Resources,2014,DANK S.A.
ROUGH SAWN GREENHEART LUMBER 7035BM FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIG,WILLIAM G. MOORE & SON INC,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,2018-04-12 00:00:00,59039,26836,Port Bustamante,"New York/Newark Area, Newark, New Jersey",PARSIFAL,Jamaica,WGM 8765/ P.O.G/ WAXED ENDS,"OF DELAWARE 218 SCHANCK ROAD, P.O BOX 6309, FREEHOLD, NEW JERSEY 07728 USA TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGETOWN GUYANA,7728,1,WFHU5179433,4500,212,PCS,586,CF,ZIMUGTG12385, , ,5W,CTA441799 ZZC148113,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,William G. Moore & Son,2018,VARIETY WOODS GREENHEART LTD
"'SHIPPER-S LOAD, COUNT & SEAL'(18CRATES) CY / CYBIRCH PLYWOODFREIGHT COLLECTNO WOOD PACKING MATERIAL IS USEDIN THE SHIPMENT.",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LINYI ANSHUN TIMBER CO., LTD.",06/08/2011,55000,25000,Pusan,"Los Angeles, California",HYUNDAI COLOMBO,South Korea,PO#: 00622323,10200 SW GREENBURG RD SUITE 500 TIGARD OREGON 97223 U.S.A. TEL:503.872.3566,"ZHUBAO INDUSTRIAL ZONE, LANSHAN DISTRICT, LINYI CITY, CHINA TEL: 0086-539-8553588 FAX: 0086-539-8553566",97223,1,HDMU6369430,45G0,18,CT,0, ,HDMUQILA1420780, , ,0037E,HD1511646,PANAMA,00 - Consumption Category,HDMU,HYUNDAI MERCHANT MARINE,SEOUL, , ,879 W 190TH ST 7TH FL,BRIDGEWELL RESOURCES LLC, ,"QINGDAO, CHINA",Bridgewell Resources,2011,"LINYI ANSHUN TIMBER CO., LTD."
"O5 07 14-EFPI GREEN ENDS P.O.G PCS ROUGH SAWN GREENHEART LUMBER 2,361 BM PCS ROUGH SAWN TATABU LUMBER 1,136 BM PCS ROUGH SAWN DARINA LUMBER 680 BM PCS ROUGH SAWN SHIBIDAN LUMBER 510 BM 05 02 14-EFPI GREEN ENDS P.O.G PCS ROUGH SAWN KABUKALLI LUMBER 1,152 BM PCS ROUGH SAWN BURADA LUMBER 960 BM PCS ROUGH SAWN TATBU LUMBER 720 BM PCS ROUGH SAWN DARINA LUMBER 480 BM 05 08 14-EFPI P.O.G PCS BAROMALLI PLYWOOD(1 CRATE)",EVERGREEN FOREST PRODUCTS,EVERGREEN FOREST PRODUCTS INC,VARIETY WOODS & GREENHEART LTD,2014-06-11 00:00:00,47845,21748,Port Bustamante,"New York, New York",VEGA NIKOLAS,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVENUE PO BOX 922 WADING RIVER NY 11792 USA,"99 LALUNI ST QUEENSTOWN GEORGETOWN, GUYANA GUY",11792,1,TGHU9137075, ,182,CNT,0, ,SMLU3710463A, , ,149,292352 G1764197,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS,578 SOUND AVENUE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,Evergreen Forest Products,2014,VARIETY WOODS GREENHEART LTD
ROUND GREENHEART PILES (9 PIECES - 36' L ENGTHS) (13 PIECES - 44' LENGTHS) BUTT DI AMETERS: 12 -16 FREIGHT COLLECT ALL LOC AL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2016-11-06 00:00:00,56173,25533,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM SAN FRANCISCO,Jamaica,WHITE & BLUE ENDS,16877 EAST COLONIAL DR # 305 ORLAND O FLORIDA 32820 USA TEL:1 407 982 3 328,LOT 48 COVENT GARDEN EAST BANK DEM ERARA GUYANA,32820,1,ZCSU9006695,9500,22,PCS,0,CF,ZIMUGTG10297, , ,37W,CTA368395 ZZCK94561,MALTA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN,Woods Direct International,2016,WOODS DIRECT INC
FROZEN IQF PINEAPPLE CHUNKS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,GLOBAL FROZEN SA,03/12/2013,38958,17708,Puerto Limon,"Los Angeles, California",EVER REFINE,Costa Rica,NONE,12420 SE CARPENTER DRIVE CLACKMAS OREGON US,"100 OESTE DE LA PLAZA DE DEPORTES BARREAL, HEREDIA 506 CR", ,1,TCLU1264578,45R1,976,BOX,0, ,BAMHCREXJ00325,H,EGLV476300007006,573,EMCBSR9342,PANAMA, ,BAMH, , , , , ,TOTAL LOGISTICS RESOURCES LLC,"5362 NE 112 AVE,PORTLAND OREGON US",TIERRA BLANCA CAR,Bridgewell Resources,2013,GLOBAL FROZEN SA
"THE SAME 02X40-HC CONTAINING: 36 BUNDLES WITH: MOLDED PINE WOOD FORMOULDINGS SPLIT JAMBS RAW, LWM49 CROWN RAW, LWM47 CROWN RAW, WM356 CASING RAW CLEAN ON BOARD SHIPPED ON BOARD FREIGHT COLLECT FREIGHT AS PER AGREEMENT EXPRESS RELEASE RE: 13/1197711-001 RE: 13/1197735-001 SD: 2130923461/2",BRIDGEWELL RESOURCES, ,LINEA PARAN MADEIRAS LTDA.,09/30/2013,96800,44000, ,"Charleston, South Carolina",CAP HENRI, ,NO MARKS NO MARKS CES CHARLESTON P.O-S.: 123416 67 4097 P.O-S.: 133409 68 5087,"10200 SW GREENBURG RD. PORTLAND, OR 97223 PORTLAND, OR 97223 OR 97223 US","RUA VITORIO GIRARDI, 100 FONE: (43) 3567-8300 / FAX: (4 SENG S - PARAN - B PR 84220-000 BR",97223,2,TTNU9907578 KHJU7405137,4500 4510,36,PKG,0,CM,SUDU639106257009, , ,032N,BOLT4271473 BOLT4271471,LIBERIA, ,SUDU,HAMBURG SUED,HAMBURG, ,D-20415,WILLY-BRANDT-STRASSE 59-61 POSTFATCH 11 15,BRIDGEWELL RESOURCES,"10200 SW GREENBURG RD. PH: 503 872-3535 FX: 503 238-2 PORTLAND, OR 97223 OR 97223 US",ITAPOA SC BR,Bridgewell Resources,2013,G13 MADEIRAS LTDA
"WITH 44,652 M3 17.532 KN FINGER JOINT FLAT JAMBS KILN DRIED MANUFACTURED RADIATA PINE. PRODUCT OF CHILEAN ORIGIN AS PER PO: 00610560 FREIGHT PREPAID REF: 801850551 --FREIGHT AS PERAGREEMENT--",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ASERRADEROS ARAUCO SA,12/21/2010,38960,17709,Ancud,"New York/Newark Area, Newark, New Jersey",MSC MANDRAKI,Chile,NO MARKS SAME SAME SAME SAME,10200 SW GREENBURG ROAD SUITE 500 TIGARD OR 97223 UNITED STATES,"EL GOLF 150, 13TH FLOOR LAS CONDES RM 755-0107 CHILE",97223,1,MSCU9271545,4510,28,PKG,44,CM,MSCULL737982, , ,16R,180214,GREECE,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES LLC, ,CORONEL,Bridgewell Resources,2010,ASERRADEROS ARAUCO S.A.
"1800 BAGS(ONE THOUSAND EIGHT HUNDRED BAGS ONLY)PROCESSED CLEANED GRADED STERILIZED NIGERSEEDSONLY FOR BIRD FEED NOT FOR HUMAN CONSUMPTIONSCIENTIFIC NAME : GUIZOTIA ABYSSINICAPACKING: 25LBS PP NON WOVEN SAC BAGS,PALLETIZED SHRINKEDWRAPPED WITH CARDBOARD SHEETS ON TOP ANDBOTTOM OF PALLETSBTH#478 DOP 09.20.2011HS CODE: 12079930S B NO. 5589496 DT. 26.09.2011BUYER-S FDAREGN. NO. 1355204708OUR FDA REGN.NO.17734742672",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHAH NANJI NAGSI EXPORTS PVT LTD,11/28/2011,46090,20950,Nhava Sheva,"Los Angeles, California",SL CHARGER,India,PREMUIM INDIAN NYJER SEED NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"FOOD AND AG PRODUCTS DIVISION 12420 SE CARPENTER DRIVE,CLACKMAS, OR-97015,U.S.A. OR 97015 US","ANAJ BAZAR, ITWARI, NAGPUR 440002 IN",97015,1,UESU4290565,42B0,1800,BAG,0, ,FEXLFMLOA4683,H,CMDUIN1701972,UN165,483255,UNITED STATES,00 - Consumption Category,FEXL,FALCON EXPRESS LINES INC,JAMAICA,NY,11434,159-11 ROCKAWAY BLVD, , ,JAWAHAR LAL,Bridgewell Resources,2011,SHAH NANJI NAGSI EXPORTS PVT.LTD.
LUMBER PRODUCTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,DAUNE IMPORTACAO E EXPORTACAO LTDA,03/13/2014,43534,19788,Itajay,"Houston, Texas",NAVEGANTES EXPRESS,Brazil,MADE IN BRAZIL,10200 SW GREENBURG RD. - SUITE 500 TIGARD OR 97223,"R. GIL STEIN FERREIRA, 357 ITAJAI SC BR",97223,1,INKU6252969, ,22,PKG,0, ,PYRDITJ7003937,H,CPLBKHRA31N00,1402,LT0878502,LIBERIA, ,PYRD,PYRAMID CONTAINER LINE, , , , , , ,ITAJAI,Bridgewell Resources,2014,DAUNE IMPORTACAO E EXPORTACAO LTDA
PCS GREENHEART PILES 750 LN. FT. (CHLOROCARDIUM RODIEI),EVERGREEN FOREST PRODUCTS,EVERGREEN FOREST PRODUCTS INC,TRADE LINC,2014-04-30 00:00:00,43730,19877,Port Bustamante,"New York, New York",VEGA NIKOLAS,Jamaica,NO MARKS NO MARKS,578 SOUND AVENUE PO BOX 922 WADING RIVER NY 11792 USA,"37 AREA -Q- TURKEYEN EAST COAST DEMERARA, GUYANA GUY",11792,1,SMLU7860721, ,25,CNT,0, ,SMLU3676352A, , ,146,286627 G1764002,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,EVERGREEN FOREST PRODUCTS,578 SOUND AVENUE PO BOX 922 WADING RIVER NY 11792 USA,GEORGETOWN,Evergreen Forest Products,2014,TRADE-LINC
"COCONUT OIL IN DRUMS 1 X 20' DRY CONTAINER VAN CONTAINING 18.30 MT OF CERTIFIED ORGANIC RBD COCONUT OIL, NOP CERTIFIED, PH-BIO-154 PACKED IN 1000 LITER SPACEKRAFT CORRUGATED IBC WITH HEATING ELEMENT (110V), AS PER SPECIFICATIONS OF SC GLOBAL COCO PRODUCTS, INC. . NET WEIGHT 18.30 MT THE SAME THE SAME THE SAME",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"SC GLOBAL COCO PRODUCTS, INC.",04/23/2015,42372,19260,Kaohsiung,"Los Angeles, California",EVER SMILE,China Taiwan,"ORGANIC RBD COCONUT OIL ORGANIC RBD COCONUT OIL LOT NO. 064 150311 008 MFG. DATE 11/MARCH/2015 NET WEIGHT 915 KG. INGREDIENTS ORGANIC COCONUT OIL STORAGE CONDITIONSCOOL ( 70 F/21 C) DO NOT EXPOSE TO OXYGEN, HEAT,LIGHT AND MOISTURE MANUFACTURED IN PHILIPPINES","10200 SW GREENBURG RD., STE 500 TIG ARD, OR 97223 USA TRL 503-872-3566 LOCAL 800-570-3566 TOLL FREE","NATIONAL HIGHWAY, BRGY. CARIDAD, BAYBAY CITY, LEYTE PHILIPPINES 6521",97223,1,EITU0093727,22G1,20,PKG,25,X,EGLV061500007774, , ,0765E,EMCEHM9953,UNITED KINGDOM, ,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES FOOD & AG,"PRODUCTS DIVISION 12420 SE CARPENTER DR CLACKAMAS, OR LOCAL 800-570-3566 TOLL FREE",CEBU,Bridgewell Resources,2015,"SC GLOBAL COCO PRODUCTS, INC."
PCS WAMARADAN LUMBER EFP INVOICE# 177 PCS WAMARADAN LUMBER EFP INVOICE# 177 PCS WAMARADAN LUMBER EFP INVOICE# 177,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC.,2022-12-07 00:00:00,110275,50125,Port Bustamante,"New York, New York",ERATO,Jamaica,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,67 SECTION A BLOCK X GREAT DIAMOND EAST DEMERARA GUYANA GUY,11792,3,FWRU0119486 SMLU7949439 SEGU5147544,4510 4510 4510,57,PCS,0, ,SMLU7353122A, , ,72,611274 G3112641 611277 G3112637 611276 G3112636,LIBERIA, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INT'L GROUP,146-35 167TH ST STE 202 JAMAICA NY 11434 USA,GEORGETOWN,Evergreen Forest Products,2022,EVERGREEN FOREST PRODUCTS INC
(17 PIECES ROUND GREENHEART PILINGS 7.47M3) PO # WGM 7827 (16 PIECES ROUND GREENHEART PILING -9.85 M3) PO # WGM 7828 FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE-S ACCOUNT SAID TO BE SAID TO WEIGH,WILLIAM G. MOORE & SON INC OF,WILLIAM G. MOORE & SON INC,VARIETY WOODS & GREENHEART LIMITED,2012-02-12 00:00:00,48082,21855,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM HAIFA,Jamaica,PINK & GREY ENDS,"DELAWARE 218 SCHANCK ROAD, SUITE # 2 PO BOX 6309 FREEHOLD NJ 07728 USA TEL:732-303-6049 FAX:732-303-6075",99 LALUNI STREET QUEENSTOWN GEORGET OWN GUYANA,7728,1,ZCSU8691362,4500,33,PCS,17,CF,ZIMUGTG04576, , ,30W,ZZC165311/,ISRAEL,00 - Consumption Category,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE, ,GEORGETOWN,William G. Moore & Son,2012,VARIETY WOODS GREENHEART LTD
PCS DRESSED AND ROUGH SAWN GREENHEART LUMBER (INV# 393),EVERGREEN FOREST PRODUCTS INC,EVERGREEN FOREST PRODUCTS INC,NAZIR TROPICAL TIMBERS,2019-07-09 00:00:00,52910,24050,Port Bustamante,"New York, New York",AS ANGELINA,Jamaica,NO MARKS NO MARKS,578 SOUND AVE PO BOX 922 WADING RIVER NY 11792 USA,"172 SECTION C BLOCK Y GROVE EAST BANK DEMERARA, GUYANA GUY",11792,1,SMLU7937119, ,256,PCS,0, ,SMLU5705648A, , ,52,503577 G2402237,PORTUGAL, ,SMLU,SEABOARD MARINE LTD,MIAMI,FL,33166,8001 NW 79TH AVE,BRAUNER INTERNATIONAL CORP,66 YORK ST FL 2 JERSEY CITY NJ 07302-3839 USA,GEORGETOWN,Evergreen Forest Products,2019,NAZIR TROPICAL TIMBERS
PINE FJ PRIMED MOULDINGS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S.A.,07/07/2012,43604,19820, ,"New York, New York",NYK CLARA, ,AS ADDR,"10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A.","RUA GEN. CAMARA, 243 - 6O ANDAR - 90010-230 - PORTO ALEGRE - RS - BRAZIL",97223,1,HDMU6175271, ,21,PCS,0, ,SQSTALLRIG197,H,HDMUBRWB1259499,0712E,HMM033494,SINGAPORE,00 - Consumption Category,SQST,SEAQUEST LINE,NEW TERRITORIES, , ,100 YEUNG UK RD, , ,"NAVEGANTES, BRAZI",Bridgewell Resources,2012,ARAUPEL S/A
