PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
NET WEIGHT 24220 WITH URUGUAYAN PINE K/D BLANKS S2S PCS 5940 MBF 21.666 CBM 51.100 ORDERNR. 615670 WOOD PACKING MATERIALS BEING USEDARE FREE OF BARK & APPARENTLY FREE FROMLIVEPLANT PEST,BRIDGEWELL RESOURCES, ,DANK S.A.,04/06/2011,54010,24550,Montevideo,"Charleston, South Carolina",LIMARI,Uruguay,NO MARKS SAME SAME SAME SAME,PO BOX 23711 PORTLAND OR 97256 UNITED STATES,JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,23711,1,MSCU9383442,4510,22,BOX,51,CM,MSCUUU005528, , ,1106N,8385937,LIBERIA,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES, ,MONTEVIDEO
BULGARIAN STRIPED SUNFLOWER SEEDS IN 50LB POLYPROPYLENE BAGS 925 BAGS 00617700/28.01.2011TOTAL NET WEIGHT 20979 KGBULGARIAN STRIPED SUNFLOWER SEEDS IN 50LB POLYPROPYLENE BAGS 925 BAGS ORDER 00617741/28.01.2011 TOTAL NET WEIGHT 20979,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,STAN COMMERCE LTD.,04/05/2011,92598,42090,La Spezia,"Long Beach, California",MSC LAUSANNE,Italy,NO MARKS SAME SAME NO MARKS SAME SAME,12420 SE CARPENTER D CLACKAMAS OR 97015 UNITED STATES,"TOLEVA MAHALA, 3 'EUROPA' STR SOFIA 1331 BG",97015,2,DRYU9062515 GLDU7671439,4510 4510,1850,BAG,102,CM,MSCUBG260306, , ,11A,CA0728747 21387 CA0728746 21387,GERMANY,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES LLC, ,VARNA
"PLYWD,FACE PLY BIRCH,SPEC DIMEWHITE BIRCH PLYWOODTHREE PLY FACE PLY BETULA",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LINYI ANSHUN TIMBER CO ,LTD",04/04/2011,55000,25000,Pusan,"Seattle, Washington",HANJIN LONDON,South Korea,NO SWPM PO# 00617098,". 10200 SW GREENBURG RD SUITE 500 TIGARD,OR 97223 TEL 503 872 3566",". ZHUBAO INDUSTRIAL ZONE,LANSHAN DISTRICT,LINYI CITY,CHINA TEL 0086- 539-8553588 FAX 0086-539-8553566",97223,1,CLHU8345401,4FG0,18,CRT,0, ,HJSCTATC02124600, , ,0115E,CH7290979,PANAMA,00 - Consumption Category,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES LLC, ,"QINGDAO,SHANDONG"
"PLYWD,FACE PLY BIRCH,SPEC DIMEWHITE BIRCH PLYWOOD,THREE PLY FACE PLY BETULA",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"LINYI ANSHUN TIMBER CO , LTD",04/04/2011,55000,25000,Pusan,"Seattle, Washington",HANJIN LONDON,South Korea,NO SWPM PO# 00617096,". 10200 SW GREENBURG RD SUITE 500 TIGARD,OR 97223 TEL 503 872 3566",". ZHUBAO INDUSTRIAL ZONE, LANSHAN DISTRICT,LINYI CITY,CHINA TEL 0086- 539-8553588 FAX 0086-539-8553566",97223,1,HJCU1631092,4FG0,18,CRT,0, ,HJSCTATC02125700, , ,0115E,CH7280750,PANAMA,00 - Consumption Category,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES LLC, ,"QINGDAO,SHANDONG"
"CONIFEROUS WD,SAWN,FINGRJOINTD22 PALLETS WITH URUGUAYAN PINE K/D BLANKS S2SCONIFEROUS WD,SAWN,FINGRJOINTDPCS 5675 MBF 21.619 CBM 51.090 ORDER NR 615CONIFEROUS WD,SAWN,FINGRJOINTD671 WOOD PACKING MATERIALS BEING USED ARE FRECONIFEROUS WD,SAWN,FINGRJOINTDE OF BARK & APPARENTLY FREE FROMLIVE PLANT PE",BRIDGEWELL RESOURCES, ,DANK S.A.,04/02/2011,53900,24500,South Riding Point,"Port Everglades, Florida",ISOLDE,Bahamas,NO MARKS SAME SAME SAME,PO BOX 23711 PORTLAND OR 97256 UNITED STATES,JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,23711,1,MEDU8250842,4510,22,PKG,51,CM,MSCUUU005353, , ,18P,8385810,LIBERIA,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES, ,MONTEVIDEO
PLYWOODHS CODE:4412101919,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"DEQING SHENGQIANG WOOD CO., LTD.",04/01/2011,42900,19500,Shanghai,"New Orleans, Louisiana",MSC STELLA,China,N M NO MARKS,INTERNATIONAL WOOD PRODUCTS DIVISI ON 10200 SW GREENBURG RD SUITE 500 TEL:503-872-3462 TIGARD OR 97223 US,"ZHONGGUANINDUSTRIAL AREA, DEQING ZHEJIANG CHINA TEL:0572-2095708",10200,1,MSCU9149007,45G0,17,CRT,0,X,GEVIYSNEW1101020,H,MSCUD7503255,020A,A146837,PANAMA,00 - Consumption Category,GEVI,GOLDEVER INTERNATIONAL LOGISTICS CO LTD,QINGDAO, ,266071,RM 2601 CENTRAL INTERNATIONAL PLAZA NO 19ZHANG ZHO,BRIDGEWELL RESOURCES LLCMSC (USA) INC., ,"SHANGHAI,CHINA"
INDONESIAN WOOD PRODUCTS,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,CV JATI WELAS,03/31/2011,45173,20533,Pusan,"Portland, Oregon",COSCO FELIXSTOWE,South Korea,NO MARKS,". INTERNATIONAL DIVISION 10200 SW GREENBURG RD, SUITE #500 TIGARD, OR 97223 USA*",". JL SUSUKAN NO 9, CIAWIGEBANG KUNINGAN, WEST JAVA 45591 INDONESIA",10200,1,HJCU4234376,4CG0,12,PKG,0, ,HJSCSRG100256200, , ,0076E,HB353934,UNITED KINGDOM,00 - Consumption Category,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES LLC, ,"SEMARANG, JAVA"
"WOOD ROUGH, BEECH (FAGUS SPP)16 PACKAGES WITH 9.940 PIECES OF CLEAR KDTAEDA PINE FJ PRIMED MOULDINGS AND SOLIDMOULDINGSCONTRACT NR: PO-00615829FREIGHT PREPAIDNCM: 4418200099THE SOLID WOOD PACKAGING MATERIALS INTHIS SHIPMENT ARE TOTALLY FREE FROM BARKAND APPARENTLY FREE FROM LIVE PLANT PESTTHE REGULATED WOOD PACKING MATERIAL HASBEEN TREATED IN ACCORDANCE WITH THE USDAREQUIREMENTSITEMS INDICATED AS FSC PURE ARE INACCORDANCE WITH THE FOLLOWINGSPECIFICATIONS:PRODUCTS FSC - 1 ARE FROM FORESTSWITH FORESTRY MANAGMENT FSC-PURESW-COC-001878ITEMS INDICATED AS FSC MIXED ARE INACCORDANCE WITH THE FOLLOWINGSPECIFICATIONS:PRODUCTS FSC - 2 ARE FROM WELLMANAGED FORESTS AND OTHER CONTROLLEDSOURCES FSC MIXED CREDIT SW-COC-001878R. E. NO.: 11 0213835-001 TO 002DDE: 2110195831 6INVOICE: 918 10NET WEIGHT: 21.390,000 KGSCONTINUATION CONSIGNEE:E-MAIL: TSANDBERG@BRIDGEWELLRES.COMCONTINUATION NOTIFY:E-MAIL: MAC@RICHARD-MURRAY.COMALSO NOTIFY: BRIDGEWELL RESOURCES LLC10200 SW GREENBURG RD.PORTLAND, OR U.S.A.ATTN: TIA SANDBERGPHONE: (800) 784-3545 FAX: (503) 238-2664E-MAIL: TSANDBERG@BRIDGEWELLRES.COMSPA:4400-00-0721 0119",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S.A.,03/28/2011,47058,21390,Sao Francisco do Sul,"New York/Newark Area, Newark, New Jersey",CSAV LONQUEN,Brazil,ARAUPEL PO-00615829 PORT ELIZABETH MLDG COMBO BASE PRIMED 4 SIDES FSC - 2 PACKAGES NBS 162 TO 165 MLDG IL 223 PRIMED 4 SIDES PACKAGES NBS 168 TO 169 MLDG IL 224 PRIMED 4 SIDES PACKAGES NBS 170 TO 171 MLDG IL 306 PRIMED 4 SIDES EDGE GLUED PACKAGES NBS 166 TO 167 MLDG LWM327 SOLID FSC - 2 PACKAGES NBS 110 MLDG WM 623 PRIMED 4 SIDES FSC - 1 PACKAGES NBS 160 MLDG WM 623 PRIMED SIDES FSC - 2 PACKAGES NBS 160 TO 161 MLDG WM366 SOLID FSC - 2 PACKAGES NBS 109 MLDG WM376 SOLIDO FSC - 1 PACKAGES NBS 112 MLDG WM376 SOLIDO FSC - 2 PACKAGES NBS 111 [ NCM -------------] GSTU7887377 1 44182000 [-NCM--------------],"10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. 784-3545 FAX: (503) 238-2664","RUA GEN. CAMARA, 243 - 6O ANDAR - 90010-230 - PORTO ALEGRE - RS - BRA PHONE: 55 51 3221-7344 - FAX: 55 51",97223,1,GSTU7887377,4500,16,PCS,2,CM,CHIWPAVAKCZ00, , ,1104N,LT146814,LIBERIA,00 - Consumption Category,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO, , ,P O BOX 49 V,RICHARD MURRAY & SONS, ,SAO FRANCISCO DO
20 PALLETS ONLY. COCO PEAT 5KG STANDARD BLOCKS REGUL AR. INV NO.THI-35/2010-11 DT.10.02.2011 BUYER-S ORDE R NO.00615147 DT.12.06.201 0S.B.NO.2498083 DT.12.02. 2011 NET WT. : 19800.00 KG S HS CODE:530500,M/S.BRIDGEWELL RESOURCES, ,THIRAVIYAM COCO PRODUCTS,03/26/2011,44000,20000,Chiwan,"Oakland, California",MSC MARIA ELENA,China,20 PALLETS IN 1 X 40 HC SAME SAME SAME SAME,12686 E.LOCKE ROAD LOCKEFORD CA CA 95237 UNITED STATES,"NO.3/16B-KEEZHA KRISHNAN PUTHOOR,,P NAGERCOIL TN 629601 INDIA",95237,1,FSCU6138568,4510,20,PKG,66,CM,MSCUM5868478, , ,R1110,E70237,PANAMA,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,M/S.BRIDGEWELL RESOURCES, ,TUTICORIN
NET WEIGHT 23870 22 PALLET (S) WITH URUGUAYANPINE K/D BLANKS S2S PCS 7986 MBF 21.318 CBM50.380 ORDER NR. 614834 WOOD PACKING MATERIALS BEING USED ARE FREE OF BARK & APPARENTLY FREE FROMLIVE PLANT PEST,BRIDGEWELL RESOURCES, ,DANK S.A.,03/25/2011,53240,24200,South Riding Point,"New Orleans, Louisiana",MSC FLAMINIA,Bahamas,NO MARKS SAME SAME SAME SAME,PO BOX 23711 PORTLAND OR 97256 UNITED STATES,JUAN PAULLIER 1671 MONTEVIDEO 11200 URUGUAY,23711,1,INKU2331653,4510,22,PKG,50,CM,MSCUUU002921, , ,040A,7424163,GERMANY,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,BRIDGEWELL RESOURCES, ,MONTEVIDEO
(TOTAL FOUR HUNDRED NINETY FOUR BAGS ONLY) STERILIZE D CLEAN NIGER SEED ONLY FO R BIRD FEED AND NOT FOR HU MAN CONSUMPTION. SB NO. 24 16461 DT. 03.02.2011 BUYER -S FDA REGN.NO.13553204708 OUR FDA REGN.NO.177347426 72 TOTAL NET WT :50123.00 KGS ON BEHALF OF SHAH N ANJI NAGSI EXPORTS PVT. LT D. H.S.CODE NO:1207 99 30(TOTAL FOUR HUNDRED NINETY FOUR BAGS ONLY) STERILIZE D CLEAN NIGER SEED ONLY FO R BIRD FEED AND NOT FOR HU MAN CONSUMPTION. SB NO. 24 16461 DT. 03.02.2011 BUYER -S FDA REGN.NO.13553204708 OUR FDA REGN.NO.177347426 72 TOTAL NET WT :50123.00 KGS ON BEHALF OF SHAH N ANJI NAGSI EXPORTS PVT. LT D. H.S.CODE NO:1207 99 30,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHAH NANJI NAGSI EXPORTS PVT. LTD.,03/24/2011,111749,50795,Salalah,"New York/Newark Area, Newark, New Jersey",NORTHERN JAMBOREE,Oman,SNN 44 JUMBO BAGS PACKING: PALLETI ZED PP JUM BO BAGS OF 2000LBS EACH . BATCH NO.331 DA TE OF PRODUCTION: 01.29.2011 (15 B AGS) BATCH N O.332 DATE OF PRODUCTI ON: 01.30.2011 (7 JUMB O BAGS) BATC H NO.333 DATE OF PRODUCTION: 01. 31 .2011 (22 JUMBO B AGS) SAME SAME SNN 44 JUMBO BAGS PACKING: PALLETI ZED PP JUM BO BAGS OF 2000LBS EACH . BATCH NO.331 DA TE OF PRODUCTION: 01.29.2011 (15 B AGS) BATCH N O.332 DATE OF PRODUCTI ON: 01.30.2011 (7 JUMB O BAGS) BATC H NO.333 DATE OF PRODUCTION: 01. 31 .2011 (22 JUMBO B AGS) SAME SAME,FOOD & AG PRODUCTS DIVISION 12420 S CLACKAMAS OR OR97015 UNITED STATES,"ANAJ BAZAR, ITWARI 311 NAGPUR MH 440002 INDIA",12420,2,MSCU9859499 TRLU5775744,4510 4510,494,BAG,0, ,MSCUM5866092, , ,G1107,E75391 E75474,LIBERIA,00 - Consumption Category,MSCU,MSC-MEDITERRANEAN SHIPPING COMPANY S A,GENEVA, ,CH 1206,40 AVENUE EUGENE PITTARD,"PGA TRADING & SHIPPING INC 100, MEN", ,"NAGPUR, INDIA"
PLYWOODHS CODE:4412101919,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,"DEQING SHENGQIANG WOOD CO., LTD.",03/22/2011,42900,19500,Shanghai,"Houston, Texas",MSC FLAMINIA,China,PO:00614198 NO MARKS,INTERNATIONAL WOOD PRODUCTS DIVISI ON 10200 SW GREENBURG RD SUITE 500 TEL:503-872-3462 TIGARD OR 97223 US,"ZHONGGUAN INDUSTRIAL AREA, DEQING ZHEJIANG CHINA TEL:0572-2095708",10200,1,TCNU7739786,45G0,17,CRT,0,X,GEVIYSHOU1101010,H,MSCUD7382106,040A,9820119,GERMANY,00 - Consumption Category,GEVI,GOLDEVER INTERNATIONAL LOGISTICS CO LTD,QINGDAO, ,266071,RM 2601 CENTRAL INTERNATIONAL PLAZA NO 19ZHANG ZHO,BRIDGEWELL RESOURCES LLCMSC (USA) INC., ,"SHANGHAI,CHINA"
STERILIZED CLEAN NIGER SEED ONLY FOR BIRD FEED AND NOT FOR HUMAN CONSUMPTION,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHAH NANJI NAGSI EXPORTS PVT LTD,03/22/2011,42181,19173,Nhava Sheva,"Los Angeles, California",NORTHERN DIPLOMAT,India,NO MARKS,"12420 SE CARPENTER DRIVE, FOOD & AG PRODUCTS DIVISION CLACKAMAS OR 97015 USA","ANAJ BAZAR, ITWARI NAGPUR 440 002 INDIA",97015,1,IPXU3121557, ,842,BAG,0, ,SWLVSWLNHS0207F1,H,NCLLNQGB8N100,1105,P472307 193425,LIBERIA,00 - Consumption Category,SWLV,SAFEWATER LINES (INDIA) PRIVATE LIMITED,MUMBAI, ,400001,195 4TH FL SAHEB BLDG D N RD FORT,TOTAL LOGISTICS RESOURCES, ,"NAGPUR, INDIA"
19.80 MT NATURAL COCONUT FIBREBRICKS (COIRPITH) NAKED BLOCKSSTRETCHWRAPPED IN WOODEN PALLETSB.NO.2520244 DT 15.02.2011FREIGHT PREPAIDHS CODE530500.40(TWENTY PACKAGES ONLY),BRIDGEWELL RESOURCES, ,STERLING FARM RESEARCH & SERVICES P,03/20/2011,44220,20100,Shanghai,"Seattle, Washington",APL XIAMEN,China,HS CODE :530500 .40,"12420 SE CARPENTER DRIVE CLACKAMAS,OR 97015,USA","29/2469.C-2, 2ND FLOOR STERLING HOUSE,PETTAH POONITHURA P.O ERNAKULAM,KERALA 682038,INDIA",97015,1,TRLU6380498,42G0,20,PKG,0, ,APLU300492425,H,APLU060056122,9,4116260,LIBERIA,00 - Consumption Category,APLU,APL CO PTE LTD-NOL GROUP, , , ,456 ALEXANDRIA RD NOL BLDG #06-00,BRIDGEWELL RESOURCES LLC, ,"TUTICORIN, IN"
"PLYWOODPLYWOODPLYWOODPLYWOOD60 CRATES :- 15,450 PCSMALAYSIAN HARDWOOD ROTARY CUTHOT PRESS PLYWOOD'SHIPPED ON BOARD FEEDER VESSELUNI-PATRIOT 0393-130E AT BINTULU,MALAYSIA ON 02.03.2011 FORTRANSHIPMENT AT KAOHSIUNG BYMOTHER VESSEL EVER EXCEL 0554-083E",BRIDGEWELL RESOURCES, ,SAMLING PLYWOOD (BINTULU) SDN BHD,03/20/2011,223181,101446,Kaohsiung,"Los Angeles, California",EVER EXCEL,China Taiwan,BRIDGEWELL BRIDGEWELL BRIDGEWELL BRIDGEWELL BRIDGEWELL 616037 616038 616046,"10200 SW GREENBURG ROAD, SUITE 500, TIGARD, OR 97223 USA TEL:(503) 872-3462 TEL:(503) 238-2653","LOT 367, BLOCK 38, KEMENA INDUSTRIAL ESTATE, PO BOX 91 97007 BINTULU, SARAWAK, MALAYSIA TEL NO:+6086-336686",97223,4,EGHU1060007 EISU1590853 FSCU4378282 IMTU1038136,42G1 42G1 42G0 42G1,60,CRT,159,CM,EGLV096100003481, , ,0554E,EMCFTQ2518 EMCFTQ2978 EMCFTQ2988 EMCFTQ3308,UNITED KINGDOM,00 - Consumption Category,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338, , ,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,BRIDGEWELL RESOURCES, ,BINTULU
"WOOD ROUGH, BEECH (FAGUS SPP)16PACKAGES WITH 12.740 PIECES OF CLEAR KDTAEDA AND PARANA PINE FJ MOULDINGS ANDFLAT JAMBS,CONTRACT NR: PO-00616782FREIGHT PREPAIDNCM: 4418200099THE SOLID WOOD PACKAGING MATERIALS INTHIS SHIPMENT ARE TOTALLY FREE FROM BARKAND APPARENTLY FREE FROM LIVE PLANT PESTTHE REGULATED WOOD PACKING MATERIAL HASBEEN TREATED IN ACCORDANCE WITH THE USDAREQUIREMENTSITEMS INDICATED AS FSC PURE ARE INACCORDANCE WITH THE FOLLOWINGSPECIFICATIONS:PRODUCTS FSC - 1 ARE FROM FORESTSWITH FORESTRY MANAGMENT FSC-PURESW-COC-001878R. E. NO.: 11 0182786-001 TO 002DDE: 2110166321 9INVOICE: 039 11NET WEIGHT: 19.680,000 KGSCONTINUATION CONSIGNEE:E-MAIL: TSANDBERG@BRIDGEWELLRES.COMCONTINUATION NOTIFY:E-MAIL: MAC@RICHARD-MURRAY.COMALSO NOTIFY: BRIDGEWELL RESOURCES LLC10200 SW GREENBURG RD.PORTLAND, OR U.S.A.ATTN: TIA SANDBERGPHONE: (800) 784-3545 FAX: (503) 238-2664E-MAIL: TSANDBERG@BRIDGEWELLRES.COMSPA.: 4400-00-0721 0119",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,ARAUPEL S.A.,03/20/2011,43296,19680,Sao Francisco do Sul,"New York/Newark Area, Newark, New Jersey",MSC WASHINGTON,Brazil,ARAUPEL PO-00616782 PORT ELIZABETH FLAT JAMBS PACKAGES NBS 101 TO 108 MLDG BASE PACKAGES NBS 96 TO 97 MLDG CASING PACKAGES NBS 98 TO 100 MLDG RP BASE PRIMED PACKAGES NBS 157 TO 158 MLDG RP BASE PRIMED FSC - 1 PACKAGES NBS 158 MLDG RP RB3 PRIMED PACKAGES NBS 159 [ NCM -------------] GESU4911289 1 44182000 [-NCM--------------],"10200 SW GREENBURG RD. PORTLAND, OR, 97223, U.S.A. PHONE: (800) 784-3545","RUA GEN. CAMARA, 243 - 6O ANDAR - 90010-230 - PORTO ALEGRE - RS - BRA PHONE: 55 51 3221-7344 -",97223,1,GESU4911289,4500,16,PCS,0, ,CHIWPAVAK1S00, , ,1103N,LT147460,GREECE,00 - Consumption Category,CHIW,COMPANIA SUD AMERICANA DE VAPORES S A,VALPARAISO, , ,P O BOX 49 V,RICHARD MURRAY & SONS, ,SAO FRANCISCO DO
"WOOD / JAMBSJAMBS T/E CLEAR FJ FLAT PRIMED;AS PER, PO 616312:11/16 X 4-5/8 X 81-11/16FREIGHT PREPAID.RE: 11/5058437-001.SD: 2110156631/0.",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,INDUSFLORA PROD.FLORESTAIS LTDA,03/15/2011,46420,21100, ,"Houston, Texas",SANTOS EXPRESS, ,PO-616312.,10200 SOUTHWEST GREENBURG ROAD TIGARD OR 97223-5510 USA PH. 503 - 872 3565 LEONARD GREER,ROD. BR 282 KM 05 LAGES SC 88506-600 BRASIL CNPJ. 03121210/0001-26 TEL.49 3221 2612 ELIANE,97223,1,GATU8793065,4500,20,PCS,0, ,HLCUIT2110202144, , ,1103N,236481,HONG KONG,00 - Consumption Category,HLCU,HAPAG LLOYD A G,HAMBURG, , ,399 HOES LN,BRIDGEWELL RESOURCES LLC, ,"NAVEGANTES, SC, B"
STERILIZED CLEAN NIGER SEED ONLY FOR BIRD FEED AND NOT FOR HUMAN CONSUMPTIONSTERILIZED CLEAN NIGER SEED ONLY FOR BIRD FEED AND NOT FOR HUMAN CONSUMPTIONSTERILIZED CLEAN NIGER SEED ONLY FOR BIRD FEED AND NOT FOR HUMAN CONSUMPTION,BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,SHAH NANJI NAGSI EXPORTS PVT LTD,03/14/2011,168907,76776,Colombo,"New York, New York",PRESIDENT JACKSON,Sri Lanka,NO MARKS NO MARKS NO MARKS,"12420 SE CARPENTER DRIVE, FOOD & AG PRODUCTS DIVISION CLACKAMAS OR 97015 USA","ANAJ BAZAR, ITWARI NAGPUR 440 002 INDIA",97015,3,TRLU6387975 CLHU4411531 APZU4803885, ,741,BAG,0, ,SWLVSWLNHS0205F1,H,APLU054448921,218,123990 122846 123944,UNITED STATES,00 - Consumption Category,SWLV,SAFEWATER LINES (INDIA) PRIVATE LIMITED,MUMBAI, ,400001,195 4TH FL SAHEB BLDG D N RD FORT,TOTAL LOGISTICS RESOURCES, ,"NAGPUR, INDIA"
MALAYSIAN HARDWOOD ROTARY CUT HOT PRESS PLYWO,BRIDGEWELL RESOURCES, ,SAMLING PLYWOOD (BINTULU) SDN BHD,03/09/2011,55887,25403,Shanghai,"Portland, Oregon",COSCO DALIAN,China,NO MARKS,". 10200 SW GREENBURG ROAD, SUITE 500,TIGARD,OR 97223 USA TEL (503)872-3462 FAX (503)238-2653",". LOT 367, BLOCK 38, KEMENA INDUSTRIAL ESTATE, PO BOX 91 97007 BINTULU, **",97223,1,CAXU7257910,4CG0,15,CRT,0, ,HJSCPKG100310101, , ,0064E,HA178261,PANAMA,00 - Consumption Category,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES, ,"BINTULU, SARAWAK"
MALAYSIAN HARDWOOD ROTARY CUT HOT PRESS PLYWOMALAYSIAN HARDWOOD ROTARY CUT HOT PRESS PLYWO,BRIDGEWELL RESOURCES, ,SAMLING PLYWOOD (BINTULU) SDN BHD,03/09/2011,111591,50723,Shanghai,"Portland, Oregon",COSCO DALIAN,China,NO MARKS NO MARKS,". 10200 SW GREENBURG ROAD, SUITE 500, TIGARD, OR 97223 USA TEL (503)872-3462 FAX (503)238-2653",". LOT 367, BLOCK 38, KEMENA INDUSTRIAL ESTATE, PO BOX 91 97007 BINTULU, SARAWAK, MALAYSIA *",97223,2,HJCU4012471 HJCU4116054,4CG0 4CG0,30,CRT,0, ,HJSCPKG100310100, , ,0064E,HA178264 HA178258,PANAMA,00 - Consumption Category,HJSC,HANJIN SHIPPING COMPANY LTD,PARAMUS,NJ,7652,80 EAST RT 4 SUITE 490,BRIDGEWELL RESOURCES, ,"BINTULU, SARAWAK"
"WOOD/JAMBSJAMBS T/E CLEAR FJ FLAT PRIMED;AS PER, PO 616311:11/16 X 4-5/8 X 81-11/16FREIGHT PREPAID.RE: 11/5044360-001.SD: 2110108747/1.",BRIDGEWELL RESOURCES LLC,BRIDGEWELL RESOURCES LLC,INDUSFLORA PROD.FLORESTAIS LTDA,03/08/2011,46420,21100, ,"Houston, Texas",CSAV LONQUIMAY, ,PO-616311.,10200 SOUTHWEST GREENBURG ROAD TIGARD OR 97223-5510 USA PH. 503 - 872 3565 LEONARD GREER,ROD. BR 282 KM 05 LAGES SC 88506-600 BRASIL TEL.49 3221 2612 ELIANE CNPJ. 03121210/0001-26,97223,1,HLXU6588871,4510,20,PCS,0, ,HLCUIT2110200785, , ,1101N,173311,LIBERIA,00 - Consumption Category,HLCU,HAPAG LLOYD A G,HAMBURG, , ,399 HOES LN,BRIDGEWELL RESOURCES LLC, ,"NAVEGANTES, SC, B"
