PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS &AMP; NUMBERS,CONSIGNEE ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,MASTER B/L,VOYAGE NUMBER,SEAL,SHIP REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT,SHIPPER_CLEANED,YEAR,IMPORTER_CLEANED,IMPORTER_COUNTRY
"GREENHEART PILES STC: ROUND GREENHEART PILES 25 PIECES - 39' LENGTHS 12 - 15 BUTT DIAMETERS 975 LINEAL FEET ------------------------------ NONE, NONE",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-10-03 00:00:00,57750,26250,Point Lisas,"Port Everglades, Florida",WARNOW WHALE,Trinidad,CONTAINER# SEFU 4215907 SEAL# CTA495897 ----------------- WHITE & BLUE ENDS ----------------- PO# 18-034 -----------------,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","LOT 81 STONE AVENUE COMPBELLVILLE,GEORGETOWN GUYANA - TEL# 592 261 0009",32820,1,SEFU4215907,4510,25,PCS,18,M,CWLQGEDN8M000455, , ,I8038,R10268436,CYPRUS, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
"ROUND GREENHEART PILES STC: ROUND GREENHEART PILES 17 PIECES - 44' LENGTHS 13 - 15 BUTT DIAMETERS 748 LINEAL FEET ------------------------------ NONE, NONE",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-09-25 00:00:00,44220,20100,Point Lisas,"Port Everglades, Florida",AS FABRIZIA,Trinidad,CONTAINER# SEFU 4504303 SEAL# CTA495896 ----------------- WHITE & BLUE ENDS ----------------- PO# 18-037 -----------------,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","LOT 81 STONE AVENUE COMPBELLVILLE,GEORGETOWN GUYANA - TEL# 592 261 0009",32820,1,SEFU4504303,9510,17,PCS,13,M,CWLQGEDN8M000454, , ,I8037,R10268430,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
"GREENHEART PILES STC: ROUND GREENHEART PILES 24 PIECES - 37' - 39' LENGTHS 13 - 15 BUTT DIAMETERS 918 LINEAL FEET ------------------------------ NONE, NONE",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-09-12 00:00:00,53042,24110,Point Lisas,"Port Everglades, Florida",AS FABRIZIA,Trinidad,CONTAINER# FCIU 8931015 SEAL# CTA495194 ----------------- WHITE & BLUE ENDS ----------------- PO# 18-034 -----------------,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","LOT 81 STONE AVENUE COMPBELLVILLE,GEORGETOWN GUYANA - TEL# 592 261 0009",32820,1,FCIU8931015,4510,24,PCS,19,M,CWLQGEDN8M000419, , ,I8035,R10298580,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
"GREENHEART PILES STC: ROUND GREENHEART PILES 24 PIECES - 37' - 39' LENGTHS 12 - 15 BUTT DIAMETERS 922 LINEAL FEET ------------------------------ NONE, NONE",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-09-12 00:00:00,47850,21750,Point Lisas,"Port Everglades, Florida",AS FABRIZIA,Trinidad,CONTAINER# BMOU 6046504 SEAL# CTA495251 ----------------- WHITE & BLUE ENDS ----------------- PO# 18-034 -----------------,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","LOT 81 STONE AVENUE COMPBELLVILLE,GEORGETOWN GUYANA - TEL# 592 261 0009",32820,1,BMOU6046504,4510,24,PCS,15,M,CWLQGEDN8M000425, , ,I8035,R10268416,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
"GREENHEART PILES STC: ROUND GREENHEART PILES 23 PIECES - 36' - 39' LENGTHS 13 - 15 BUTT DIAMETERS 871 LINEAL FEET ------------------------------ NONE, NONE",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-08-22 00:00:00,53196,24180,Point Lisas,"Port Everglades, Florida",WARNOW WHALE,Trinidad,CONTAINER# FCIU 8982162 SEAL# CTA490581 ----------------- WHITE & BLUE ENDS ----------------- PO# 18-034 -----------------,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","LOT 81 STONE AVENUE COMPBELLVILLE,GEORGETOWN GUYANA - TEL# 592 261 0009",32820,1,FCIU8982162,4510,23,PCS,18,M,CWLQGEDN8M000385, , ,I8032,R10298467,CYPRUS, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUND GREEN HEART PILES,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-07-20 00:00:00,255317,116053,All Other Guyana Ports,"Hartford, Connecticut",OSLO BULK 8,Guyana,NO MARKS,16877 EAST COLONIAL DRIVE #305 ORLANDO FL 32820 US,81 STONE AVENUE CAMPBELLVILLE GEORGETOWN GY,32820,1,NC, ,83,PCS,0,CF,OBUKOB810071802, , ,102, ,SINGAPORE, ,OBUK, , , , , ,B.N.A.,1001 S MYRTLE AVENUE SUITE 1 CLEARWATER FL 33756 US, ,Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUND GREEN HEART PILES,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-07-20 00:00:00,802912,364960,All Other Guyana Ports,"Hartford, Connecticut",OSLO BULK 8,Guyana,NO MARKS,16877 EAST COLONIAL DRIVE #305 ORLANDO FL 32820 US,81 STONE AVENUE CAMPBELLVILLE GEORGETOWN GY,32820,1,NC, ,591,PCS,0,CF,OBUKOB810071801, , ,102, ,SINGAPORE, ,OBUK, , , , , ,B.N.A.,1001 S MYRTLE AVENUE SUITE 1 CLEARWATER FL 33756 US, ,Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUND GREEN HEART LUMBER,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-07-20 00:00:00,118261,53755,All Other Guyana Ports,"Hartford, Connecticut",OSLO BULK 8,Guyana,NO MARKS,16877 EAST COLONIAL DRIVE #305 ORLANDO FL 32820 US,81 STONE AVENUE CAMPBELLVILLE GEORGETOWN GY,32820,1,NC, ,68,PCS,0,CF,OBUKOB810071803, , ,102, ,SINGAPORE, ,OBUK, , , , , ,B.N.A.,1001 S MYRTLE AVENUE SUITE 1 CLEARWATER FL 33756 US, ,Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
54 PIECES ROUGH SAWN GREENHEART LUMBER 12 X 12 X 15' LENGTHS FREIGHT COLLECT ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT SAID TO BE SAID TO WEIGH,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-07-07 00:00:00,68475,31125,Port Bustamante,"Houston, Texas",MSC LEIGH,Jamaica,PO # 18-026,16877 EAST COLONIAL DRIVE PMB 305 ORLANDO FLORIDA 32820 USA TEL:1-407-982-3328,"LOT 81 STONE AVENUE CAMPBELLVILLE, EAST BANK DEMERARA GUYANA TEL:592 261 0009",32820,1,ZCSU8443330,4500,14,BDL,809,CF,ZIMUGTG12845, , ,18S,CTA483576 ZZC137723,PANAMA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUGH SAWN MORA LUMBER 40 PIECES - ROUGH SAWN MORA LUMBER 10 X 12 X 20' LENGTHS (10 PIECES MORA CRANE MATS) ---------------------------------- NONE,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-07-04 00:00:00,51282,23310,Point Lisas,"Port Everglades, Florida",AS FABRIZIA,Trinidad,CONTAINER# CMCU 4969321 SEAL# CTA483577 ----------------- PO# 18-011 -----------------,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","LOT 81 STONE AVENUE COMPBELLVILLE,GEORGETOWN GUYANA - TEL# 592 261 0009",32820,1,CMCU4969321,4510,40,PCS,18,M,CWLQGEDN8M000303, , ,I8025, ,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUGH SAWN MORA LUMBER 40 PIECES - ROUGH SAWN MORA LUMBER 10 X 12 X 20' LENGTHS (10 PIECES MORA CRANE MATS) ---------------------------------- NONE,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-05-23 00:00:00,50358,22890,Point Lisas,"Port Everglades, Florida",AS FEDERICA,Trinidad,CONTAINER# BSIU 9794275 SEAL# CTA448990 ----------------- PO# 18-011 -----------------,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,1,BSIU9794275,4510,40,PCS,18,M,CWLQGEDN8M000184, , ,I8019,R10294378,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
"WALLABA POLES 10 BUNDLES STC 200 PIECES WALLABA POLES - 10' LENGHTS 4 MID DIAMETERS ---------------------------- 6 PIECES, DRESSED DARINA LUMBER(S4S-E4E) ----------------------------------- & 20 PIECES - WALLABA POST-18'LENGTHS -----------------------------------",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-05-01 00:00:00,12804,5820,Point Lisas,"Port Everglades, Florida",AS FIORELLA,Trinidad,CONTAINER# SEFU 2008449 SEAL# CTA447835 ----------------- PO# 18-001 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,1,SEFU2008449,2210,200,PCS,3,M,CWLQGEDN8M000156, , ,I8016,R10294400,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUGH SAWN GREENHEART LUMBER 300MM X 225MM LENGHT 5.7M,JSC TIMBER,JSC TIMBER,WOODS DIRECT INC,2018-01-19 00:00:00,55220,25100,Haina,"San Juan, Puerto Rico",JENNIFER SCHEPERS,Dominican Republic,JSC/0261/NEL YELLOW ENDS .,22 SAWMILL ROAD RIVERHEAD AUCKLAND 0841 NEW ZEALAND,"48 COVENT GARDEN EAST BANK DEMERARA, GUYANA", ,1,TGHU0883406,2200,13,PCS,0, ,HLCUGE1171200090, , ,8,CTA431047 HLD1105219,LIBERIA, ,HLCU,HAPAG LLOYD A G,HAMBURG, , ,399 HOES LN,JSC TIMBER,22 SAWMILL ROAD RIVERHEAD AUCKLAND 0841 NEW ZEALAND,"GEORGETOWN, GY",Woods Direct Inc.,2018,JSC TIMBER,New Zealand
"DRESSED LUMBER 08 BUNDLES STC 342 PIECES DRESSED GREENHEART LUMBER(S4S-E4E) 94 PIECES MORA LUMBER (S4S-E4E) SAMPLES, 20 PIECES - WALLABA POST-18'LENGTHS -----------------------------------",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2018-01-10 00:00:00,64799,29454,Point Lisas,"Port Everglades, Florida",AS FIORELLA,Trinidad,CONTAINER# BEAU 2454458 SEAL# CTA430145 ----------------- PO# 17-074 WAXED ENDS ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,1,BEAU2454458,2210,474,PCS,10,M,CWLQGEDN7M000718, , ,I7052,R10299007,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2018,WOODS DIRECT INTERNATIONAL LLC.,United States
"ROUND GREENHEART PILES BMOU 6092710 STC:24 PIECES- 38'- 39'LENGTHS ROUND GREENHEART PILES ------------------------------- 13 - 15 BUTT DIAMETERS 934 LINEAL FEET, 13 - 15 BUTT DIAMETERS 927 LINEAL FEET ------------------------------- WHITE & BLUE ENDS - PO# 17-064 D&D # 19864 ------------------------------- ROUND GREENHEART PILES BMOU 6092710 STC:24 PIECES- 38'- 39'LENGTHS ROUND GREENHEART PILES ------------------------------- 13 - 15 BUTT DIAMETERS 934 LINEAL FEET, 13 - 15 BUTT DIAMETERS 927 LINEAL FEET ------------------------------- WHITE & BLUE ENDS - PO# 17-064 D&D # 19864 -------------------------------",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2017-12-19 00:00:00,108856,49480,Point Lisas,"Port Everglades, Florida",AS FEDERICA,Trinidad,CONTAINER# BMOU 6092710 SEAL# CTA428330 ----------------- CMCU 4956854 SEAL# CTA428331 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO CONTAINER# BMOU 6092710 SEAL# CTA428330 ----------------- CMCU 4956854 SEAL# CTA428331 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,2,CMCU4956854 BMOU6092710,4510 4510,48,PCS,35,M,CWLQGEDN7M000693, , ,I7049,R10299179 R10299180,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,DWP HOLDINGS LLC,"1655 CURRYVILLE RD CHULUOTA FLORIDA 32766, USA","GEORGETOWN, GY",Woods Direct Inc.,2017,WOODS DIRECT INTERNATIONAL LLC.,United States
"ROUND GREENHEART PILES CMCU 4965007 STC:22 PIECES- 37'- 39'LENGTHS ROUND GREENHEART PILES ------------------------------- 13 - 15 BUTT DIAMETERS 851 LINEAL FEET, 13 - 15 BUTT DIAMETERS 856 LINEAL FEET ------------------------------- WHITE & BLUE ENDS - PO# 17-064 D&D # 19864 ------------------------------- ROUND GREENHEART PILES CMCU 4965007 STC:22 PIECES- 37'- 39'LENGTHS ROUND GREENHEART PILES ------------------------------- 13 - 15 BUTT DIAMETERS 851 LINEAL FEET, 13 - 15 BUTT DIAMETERS 856 LINEAL FEET ------------------------------- WHITE & BLUE ENDS - PO# 17-064 D&D # 19864 -------------------------------",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2017-11-28 00:00:00,101024,45920,Point Lisas,"Port Everglades, Florida",AS FIORELLA,Trinidad,CONTAINER# CMCU 4965007 SEAL# CTA427019 ----------------- CMCU 4955502 SEAL# CTA427018 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO CONTAINER# CMCU 4965007 SEAL# CTA427019 ----------------- CMCU 4955502 SEAL# CTA427018 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,2,CMCU4965007 CMCU4955502,4510 4510,44,PCS,32,M,CWLQGEDN7M000653, , ,I7046,R10299081 R10299083,PORTUGAL, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,DWP HOLDINGS LLC,"1655 CURRYVILLE RD CHULUOTA FLORIDA 32766, USA","GEORGETOWN, GY",Woods Direct Inc.,2017,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUND GREENHEART PILES STC:23 PIECES- 37'- 39'LENGTHS ROUND GREENHEART PILES 13 - 15 BUTT DIAMETERS 882 LINEAL FEET WHITE & BLUE ENDS - PO# 17-070 D&D #20872,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2017-11-25 00:00:00,52074,23670,Port Bustamante,"Port Everglades, Florida",REGULA,Jamaica,CONTAINER# BSIU 9722022 SEAL# CTA421245 ----------------- DITTO DITTO DITTO,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,1,BSIU9722022,4510,23,PCS,17,M,CWLQGEDN7M000608, , ,K7046,R10269388,CYPRUS, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,DWP HOLDINGS LLC,"1655 CURRYVILLE RD CHULUOTA FLORIDA 32766, USA","GEORGETOWN, GY",Woods Direct Inc.,2017,WOODS DIRECT INTERNATIONAL LLC.,United States
"ROUND GREENHEART PILES STC:20 PIECES- 37'- 39'LENGTHS ROUND GREENHEART PILES 13 - 15 BUTT DIAMETERS 770 LINEAL FEET WHITE & BLUE ENDS - PO# 17-067 -------------------------------, STC:10 PIECES- 8'LENGTHS ROUND WALLABA POLES 10 - 12 BUTT DIAMETERS 80 LINEAL FEET WAXED ENDS - PO# 17-067 -------------------------------",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2017-11-17 00:00:00,48840,22200,Port Bustamante,"Port Everglades, Florida",REGULA,Jamaica,CONTAINER# BMOU 6067699 SEAL# CTA421246 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,1,BMOU6067699,4510,30,PCS,15,M,CWLQGEDN7M000607, , ,K7045,R10269389,CYPRUS, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,WOODS DIRECT INTERNATIONAL LLC,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","GEORGETOWN, GY",Woods Direct Inc.,2017,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUND GREENHEART PILES 20' AND 25' LENGTHS 10 - 14 BUTT DIAMETERS 1090 LINEAL FEET FREIGHT COLLECT SAID TO BE SAID TO WEIGH ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2017-10-20 00:00:00,57672,26215,Port Bustamante,"New York/Newark Area, Newark, New Jersey",ZIM CHICAGO,Jamaica,WHITE & BLUE ENDS PO # 17-053,"16877 EAST COLONIAL DR. # 305 ORLANDO, FLORIDA 32820, USA TEL:1-407-982-3328",LOT 48 COVENT GARDEN EAST BANK DEMERARA GUYANA,16877,1,BSIU9589408,4500,44,PCS,555,CF,ZIMUGTG11704, , ,44W,CTA415402 ZZCO34155,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS CONSIGNEE,NO ADDRESS,GEORGETOWN - GUYA,Woods Direct Inc.,2017,WOODS DIRECT INTERNATIONAL LLC.,United States
"ROUND GREENHEART PILES BSIU 9721670 STC:24 PIECES- 37'- 39'LENGTHS ROUND GREENHEART PILES ------------------------------- 13 - 15 BUTT DIAMETERS 929 LINEAL FEET, 13 - 15 BUTT DIAMETERS 927 LINEAL FEET ------------------------------- WHITE & BLUE ENDS - PO# 17-064 D&D #19864 ------------------------------- ROUND GREENHEART PILES BSIU 9721670 STC:24 PIECES- 37'- 39'LENGTHS ROUND GREENHEART PILES ------------------------------- 13 - 15 BUTT DIAMETERS 929 LINEAL FEET, 13 - 15 BUTT DIAMETERS 927 LINEAL FEET ------------------------------- WHITE & BLUE ENDS - PO# 17-064 D&D #19864 -------------------------------",WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2017-10-15 00:00:00,97130,44150,Haina,"Port Everglades, Florida",PAVO J,Dominican Republic,CONTAINER# BSIU 9721670 SEAL# CTA415400 ----------------- GESU 6755159 SEAL# CTA415401 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO CONTAINER# BSIU 9721670 SEAL# CTA415400 ----------------- GESU 6755159 SEAL# CTA415401 ----------------- DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO DITTO,"16877 EAST COLONIAL DR#305 ORLANDO,FL 32820 USA TEL# 407 982 3328","48 COVENT GARDEN EAST BANK DEMERARA,GUYANA TEL# 592 261 0009",32820,2,GESU6755159 BSIU9721670,4510 4510,48,PCS,31,M,CWLQGEDN7M000561, , ,D7081,R10269347 R10269348,ANTIGUA AND BARBUDA, ,CWLQ,CROWLEY CARIBBEAN SERVICES LLC,JACKSONVILLE,FL,32203,PO BOX 2110,DWP HOLDINGS LLC,"1655 CURRYVILLE RD CHULUOTA FLORIDA 32766, USA","GEORGETOWN, GY",Woods Direct Inc.,2017,WOODS DIRECT INTERNATIONAL LLC.,United States
ROUND GREENHEART PILES 44' LENGTHS 12 - 15 BUTT DIAMETERS 880 LINEAL FEET FREIGHT COLLECT SAID TO BE SAID TO WEIGH ALL LOCAL CHARGES AT DESTINATION FOR CONSIGNEE'S ACCOUNT,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INTERNATIONAL LLC,WOODS DIRECT INC,2017-08-14 00:00:00,56085,25493,Port Bustamante,"New York/Newark Area, Newark, New Jersey",PARSIFAL,Jamaica,WHITE & BLUE ENDS PO # 17-048 REF. # OC1255,"16877 EAST COLONIAL DR.# 305 ORLANDO, FLORIDA 32820 U.S.A TEL:14079823328",LOT 48 COVENT GARDEN EAST BANK DEMERARA GUYANA,32820,1,ZCSU9007813,L5G1,20,PCS,496,CF,ZIMUGTG11427, , ,2W,ZZCO32044 CTA404928,LIBERIA, ,ZIMU,ZIM ISRAEL NAVIGATION CO LTD,HAIFA, , , ,SAME AS ABOVE,NO ADDRESS,GEORGETOWN - GUYA,Woods Direct Inc.,2017,WOODS DIRECT INTERNATIONAL LLC.,United States
